,name,address,latitude,longitude
57,도그하우스애견훈련,서울특별시 양천구 목동중앙서로 47 성보주상복합아파트 1층,37.5332716,126.8692770
58,뚜뚜미엘반려동물미용,서울특별시 광진구 긴고랑로 60 2층 뚜뚜미엘,37.5619031,127.0826965
59,방가댕댕반려동물미용,서울특별시 관악구 장군봉1길 6 금강아미움아파트 상가동 101동 101호,37.4818429,126.9406500
60,디어몽반려동물미용,서울특별시 관악구 난곡로63길 6,37.4811810,126.9142215
61,키즈멍애견훈련,서울특별시 광진구 동일로62길 41,37.5592611,127.0765677
62,MM애견공방반려동물미용,서울특별시 송파구 백제고분로 165 서도빌딩,37.5053813,127.0852889
63,키움반려견아카데미애견훈련,서울특별시 양천구 은행정로 94 201호,37.5281658,126.8587998
64,안녕똑독아애견호텔유치원애견훈련,충청남도 천안시 동남구 충절로 437 2층 안녕똑독아 반려견힐링센터,36.7832856,127.1715499
65,곁에 있을개반려동물미용,서울특별시 강서구 화곡로66길 162,37.5545396,126.8616004
66,이든반려견문화센터반려동물미용,서울특별시 양천구 은행정로 94,37.5281658,126.8587998
67,더예쁘개미용실&플레이독유치원반려동물미용,대구광역시 수성구 월드컵로6안길 10 플레이독유치원&더예쁘개미용실,35.8316527,128.6852262
68,야옹아멍멍해봐 양재점반려동물분양,서울특별시 서초구 양재천로 141,37.4795420,127.0425859
69,하우매니퍼피 애견유치원애견훈련,부산광역시 동래구 석사로 42,35.1999508,129.0638551
70,힐링독반려견센터애견훈련,경기도 고양시 덕양구 통일로 210 1층,37.6546899,126.8983984
71,P&M반려견전문유치원애견훈련,광주광역시 광산구 임방울대로332번길 9-8 4층,35.1900185,126.8248418
72,포독반려동물미용,서울특별시 강서구 마곡동로10길 46 406호,37.5670117,126.8397312
73,왕짱애견유치원애견훈련,경상북도 칠곡군 석적읍 북중리10길 17 왕짱애견유치원&카페,36.0774511,128.4118461
74,댕댕당반려동물미용,경기도 고양시 덕양구 무원로6번길 61 GL프라자 3층,37.6147936,126.8332041
